id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	just names	NPC#superclass Probability	names with comma	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
25_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_24	C9H7NO2	[M - H]-	C9H7NO2	Alkaloids	0.7424479126930237	Anthranilic acid alkaloids	0.6170629262924194	xxx3xxx	0.6015840768814087	Hydroxyquinolines	0.5088233351707458			Hydroxyquinolines	0.5088233351707458	Quinolines and derivatives	0.6386516690254211	Organoheterocyclic compounds	0.9976720213890076	Organic compounds; Organoheterocyclic compounds; Hydroxyquinolines; Pyridines and derivatives; Phenols; Organonitrogen compounds; Organooxygen compounds; Quinolines and derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	80
27_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_26	C10H14O2	[M - H]-	C10H14O2	Polyketides	0.7549726366996765	Cyclic polyketides	0.9191012978553772		0.9894086122512817	Phenylpropanes	0.6727377772331238			Phenylpropanes	0.6727377772331238	Benzene and substituted derivatives	0.22105622291564941	Benzenoids	0.22168365120887756	Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Organooxygen compounds; Pyranones and derivatives; Phenylpropanes; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	90
28_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_27	C10H14O2	[M - H]-	C10H14O2	Terpenoids	0.6759486794471741	Sesquiterpenoids	0.6042890548706055		0.4190351366996765	Prenol lipids	0.5046707391738892					Prenol lipids	0.5046707391738892	Lipids and lipid-like molecules	0.47846662998199463	Organic compounds; Ketones; Prenol lipids; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	96
29_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_28	C7H5NS2	[M - H]-	C7H5NS2	Alkaloids	0.8013603687286377	Anthranilic acid alkaloids	0.6669837832450867		0.5377240180969238	Benzothiazoles	0.9811148047447205					Benzothiazoles	0.9811148047447205	Organoheterocyclic compounds	0.9992571473121643	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Organonitrogen compounds; Benzothiazoles; Azoles; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	99
30_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_29	C7H5NS2	[M - H]-	C7H5NS2	Alkaloids	0.7858887314796448	Anthranilic acid alkaloids	0.643724799		0.5309200286865234	Benzothiazoles	0.9850782155990601					Benzothiazoles	0.9850782155990601	Organoheterocyclic compounds	0.9987375140190125	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Organonitrogen compounds; Benzothiazoles; Azoles; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	100
31_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_30	C7H5NS2	[M - H]-	C7H5NS2	Alkaloids	0.7934538722038269	Anthranilic acid alkaloids	0.664701521		0.56084621	Benzothiazoles	0.9804218411445618					Benzothiazoles	0.9804218411445618	Organoheterocyclic compounds	0.9990732669830322	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Organonitrogen compounds; Benzothiazoles; Azoles; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	113
32_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_31	C7H5NS2	[M - H]-	C7H5NS2	Alkaloids	0.801327646	Anthranilic acid alkaloids	0.664930522		0.5239462852478027	Benzothiazoles	0.9760375022888184					Benzothiazoles	0.9760375022888184	Organoheterocyclic compounds	0.9990842342376709	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Organonitrogen compounds; Benzothiazoles; Azoles; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124
33_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_32	C9H12O3	[M - H]-	C9H12O3	Shikimates and Phenylpropanoids	0.5312291979789734	Phenolic acids (C6-C1)	0.4544844329357147		0.4630747437477112	Anisoles	0.5757791996002197			Anisoles	0.5757791996002197	Phenol ethers	0.6439514756202698	Benzenoids	0.9560070633888245	Organic compounds; Alkyl aryl ethers; Phenols; Anisoles; Ethers; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities	136
34_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_33	C11H20O	[M - H]-	C11H20O	Terpenoids	0.7261099219322205	Monoterpenoids	0.6211363673210144		0.5690109729766846	Monocyclic monoterpenoids	0.5644896626472473	Monocyclic monoterpenoids	0.5644896626472473	Monoterpenoids	0.5383938550949097	Prenol lipids	0.6079021096229553	Lipids and lipid-like molecules	0.6724250912666321	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Menthane monoterpenoids; Monoterpenoids; Monocyclic monoterpenoids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	137
37_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_36	C9H16O3	[M - H]-	C9H16O3	Fatty acids	0.668618917	Fatty Acids and Conjugates	0.823358417		0.7829201817512512	Medium-chain fatty acids	0.6778876781463623	Medium-chain fatty acids	0.6778876781463623	Fatty acids and conjugates	0.8463331460952759	Fatty Acyls	0.8144394159317017	Lipids and lipid-like molecules	0.8308684229850769	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	140
38_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_37	C9H16O3	[M - H]-	C9H16O3	Fatty acids	0.7796467542648315	Fatty Acids and Conjugates	0.864094079		0.8700553178787231	Medium-chain hydroxy acids and derivatives	0.5341746211051941			Medium-chain hydroxy acids and derivatives	0.5341746211051941	Hydroxy acids and derivatives	0.8258602023124695	Organic acids and derivatives	0.9995218515396118	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Medium-chain hydroxy acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Alpha hydroxy acids and derivatives; Monosaccharides; Secondary alcohols; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	149
39_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_38	C9H16O3	[M - H]-	C9H16O3	Fatty acids	0.8204443454742432	Fatty Acids and Conjugates	0.7957103252410889	xxx2xxx	0.7687160968780518	Medium-chain hydroxy acids and derivatives	0.5192998647689819			Medium-chain hydroxy acids and derivatives	0.5192998647689819	Hydroxy acids and derivatives	0.6319133043289185	Organic acids and derivatives	0.99985671	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Medium-chain hydroxy acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	166
40_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_39	C9H16O3	[M - H]-	C9H16O3	Fatty acids	0.808531642	Fatty Acids and Conjugates	0.6157884001731873	xxx3xxx	0.6436683535575867	Hydroxy fatty acids	0.7279983162879944	Hydroxy fatty acids	0.7279983162879944	Fatty acids and conjugates	0.9707725644111633	Fatty Acyls	0.9844663143157959	Lipids and lipid-like molecules	0.9800755977630615	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	169
42_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_41	C10H7NO2	[M - H]-	C10H7NO2	Alkaloids	0.7496562600135803	Tryptophan alkaloids	0.5836445689201355	xxx2xxx	0.32079535722732544	Pyridine carboxaldehydes	0.8560207486152649			Pyridine carboxaldehydes	0.8560207486152649	Pyridines and derivatives	0.6336367726325989	Organoheterocyclic compounds	0.9885104894638062	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Aldehydes; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Pyridine carboxaldehydes; Benzenoids; Aryl-aldehydes; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	170
43_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_42	C10H7NO2	[M - H]-	C10H7NO2	Alkaloids	0.7798218727111816	Tryptophan alkaloids	0.5687870979309082	"xxx3xxx, yyy4yyy"	0.3912111222743988	8-hydroxyquinolines	0.556218147			8-hydroxyquinolines	0.556218147	Quinolines and derivatives	0.5734277963638306	Organoheterocyclic compounds	0.9932178854942322	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Aldehydes; Organonitrogen compounds; Organooxygen compounds; Quinolines and derivatives; Carbonyl compounds; Pyridine carboxaldehydes; Benzenoids; Aryl-aldehydes; Vinylogous amides; Organic oxides; 8-hydroxyquinolines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	172
44_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_43	C8H14O4	[M - H]-	C8H14O4	Fatty acids	0.8723903298377991	Fatty Acids and Conjugates	0.9557186365127563		0.9797407388687134	Medium-chain fatty acids	0.9557482600212097	Medium-chain fatty acids	0.9557482600212097	Fatty acids and conjugates	0.973490298	Fatty Acyls	0.965102494	Lipids and lipid-like molecules	0.9735905528068542	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	174
45_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_44	C9H18O3	[M - H]-	C9H18O3	Fatty acids	0.880431592	Fatty Acids and Conjugates	0.9331991076469421		0.9731936454772949	Medium-chain hydroxy acids and derivatives	0.796928346			Medium-chain hydroxy acids and derivatives	0.796928346	Hydroxy acids and derivatives	0.8838778734207153	Organic acids and derivatives	0.9999862909317017	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Medium-chain hydroxy acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	175
46_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_45	C10H9NO2	[M - H]-	C10H9NO2	Alkaloids	0.877193809	Tryptophan alkaloids	0.8303506374359131	"xxx3xxx, yyy4yyy"	0.982344925	Indole-3-acetic acid derivatives	0.8086400032043457	Indole-3-acetic acid derivatives	0.8086400032043457	Indolyl carboxylic acids and derivatives	0.8935952186584473	Indoles and derivatives	0.9969990253448486	Organoheterocyclic compounds	0.999998927	Organic compounds; Organoheterocyclic compounds; Pyrroles; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Indole-3-acetic acid derivatives; Indolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted pyrroles; Benzenoids; Indoles; Methyl esters; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	176
47_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_46	C10H9NO2	[M - H]-	C10H9NO2	Alkaloids	0.8855299353599548	Tryptophan alkaloids	0.7237156629562378	"xxx3xxx, yyy4yyy"	0.9128140807151794	Indolecarboxylic acids	0.6226110458374023	Indolecarboxylic acids	0.6226110458374023	Indolecarboxylic acids and derivatives	0.8385785222053528	Indoles and derivatives	0.9669934511184692	Organoheterocyclic compounds	0.9999772310256958	Organic compounds; Organoheterocyclic compounds; Pyrroles; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Indolecarboxylic acids and derivatives; Substituted pyrroles; Indolecarboxylic acids; Benzenoids; Indoles; Pyrrole carboxylic acids and derivatives; Methyl esters; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	179
49_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_48	C11H14O2	[M - H]-	C11H14O2	Shikimates and Phenylpropanoids	0.6995818614959717	Phenolic acids (C6-C1)	0.5726957321166992	"xxx3xxx, yyy4yyy"	0.5382192730903625	Benzoic acids and derivatives	0.5645351409912109			Benzoic acids and derivatives	0.5645351409912109	Benzene and substituted derivatives	0.9909883141517639	Benzenoids	0.9978736639022827	Organic compounds; Phenols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	180
50_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_49	C9H9NO3	[M - H]-	C9H9NO3	Alkaloids	0.5335946083068848	Naphthalenes	0.086644217	"xxx3xxx, yyy4yyy"	0.056318286806344986	Lactams	0.5938990116119385					Lactams	0.5938990116119385	Organoheterocyclic compounds	0.7250092029571533	Organic compounds; Organoheterocyclic compounds; Ketones; Alcohols and polyols; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Cyclic ketones; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	183
51_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_50	C11H16O2	[M - H]-	C11H16O2	Polyketides	0.6014358401298523	Aromatic polyketides	0.5536510944366455		0.5778133273124695	Phenylpropanes	0.5352453589439392			Phenylpropanes	0.5352453589439392	Benzene and substituted derivatives	0.9997233748435974	Benzenoids	0.9999896287918091	Organic compounds; Phenols; Organooxygen compounds; Benzenediols; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Hydrocarbon derivatives; Organic oxygen compounds; 4-alkoxyphenols; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	187
52_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_51	C8H10N2O3	[M - H]-	C8H10N2O3	Alkaloids	0.5515344142913818	Small peptides	0.39784514904022217	"xxx3xxx, yyy4yyy"	0.2978222370147705	Alpha amino acids and derivatives	0.8631747961044312	Amino acids and derivatives	0.8861924409866333	"Amino acids, peptides, and analogues"	0.8856490254402161	Carboxylic acids and derivatives	0.9813234210014343	Organic acids and derivatives	0.9964479207992554	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Piperazines; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Dioxopiperazines; Carbonyl compounds; Diazinanes; N-alkylpiperazines; 2,5-dioxopiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	204
55_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_54	C10H16O3	[M - H]-	C10H16O3	Fatty acids	0.6067494750022888	Fatty Acids and Conjugates	0.6811211705207825	"xxx3xxx, yyy4yyy"	0.3345373272895813	Medium-chain fatty acids	0.5186330080032349	Medium-chain fatty acids	0.5186330080032349	Fatty acids and conjugates	0.5983266234397888	Fatty Acyls	0.5552303194999695	Lipids and lipid-like molecules	0.6970973014831543	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	207
56_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_55	C10H16O3	[M - H]-	C10H16O3	Fatty acids	0.562591016	Fatty Acids and Conjugates	0.6058234572410583	"xxx3xxx, yyy4yyy"	0.32244715094566345	Fatty Acyls	0.5054129958152771					Fatty Acyls	0.5054129958152771	Lipids and lipid-like molecules	0.7004855871200562	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	213
57_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_56	C11H20O2	[M - H]-	C11H20O2	Fatty acids	0.5476789474487305	Fatty Acids and Conjugates	0.6827322244644165	"xxx3xxx, yyy4yyy"	0.6522820591926575	Medium-chain fatty acids	0.5764241218566895	Medium-chain fatty acids	0.5764241218566895	Fatty acids and conjugates	0.8400757908821106	Fatty Acyls	0.882676899	Lipids and lipid-like molecules	0.9450534582138062	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Medium-chain fatty acids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	216
